,Год_сдачи,Название_квартала,Цена,Компания,Адрес,Класс_недвижимости,Площадь,Конструкция,Мин_цена,Макс_цена,Мин_площадь,Макс_площадь,Средняя_цена
166,СДАН В 2017,"ЖК «Апельсин», Ленинский р-н, г. Екатеринбург",Продано,АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Николая Островского 5,Комфорт класс,от 46 до 88 м2,Монолитный,0,0,46,88,0.0
167,СДАН В 2016,"ЖК «МонтеКристо», г. Екатеринбург","[6854060, 7134840]",УК «AVS Девелопмент»,г. Екатеринбург ул. Фурманова 124,Бизнес класс,от 34 до 186 м2,Монолитный,6854060,7134840,34,186,6994450.0
168,СДАН В 2016,"ЖК «Новый Дом», Кировский р-н, г. Екатеринбург",Продано,ARK Development,г. Екатеринбург ул. Новгородцевой 13,Комфорт класс,от 35 до 96 м2,Монолитный,0,0,35,96,0.0
169,СДАН В 2016,"ЖК «Форест», Ленинский р-н, г. Екатеринбург",Продано,АО «ЮИТ Санкт-Петербург»,г. Екатеринбург ул. Амундсена 118,Комфорт класс,от 35 до 75 м2,Кирпичный,0,0,35,75,0.0
170,СДАН В 2016,"Апарт-комплекс «Башня Исеть», г. Екатеринбург","[15138400, 61640000]",УГМК-Холдинг,г. Екатеринбург ул. Бориса Ельцина 6,Бизнес класс,от 78 до 456 м2,Монолитный,15138400,61640000,78,456,38389200.0
171,СДАН В 2016,"ЖК «Центральный парк», г. Березовский","[2230000, 7500000]",ГК «АктивСтройСервис»,г. Березовский ул. Восточная 7,Эконом класс,от 32 до 92 м2,Монолитный,2230000,7500000,32,92,4865000.0
172,СДАН В 2016,"ЖК «Булгаков», г. Екатеринбург","[5250000, 10200000]",АТОМСТРОЙКОМПЛЕКС,"г. Екатеринбург ул. Токарей 27, к. 2",Комфорт класс,от 45 до 183 м2,Монолитный,5250000,10200000,45,183,7725000.0
173,СДАН В 2016,"ЖК «Хрустальногорский», Верх-Исетский р-н, г. Екатеринбург",Продано,АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Евгения Савкова/ул. Хрустальногорская,Комфорт класс,от 48 до 93 м2,Монолитный,0,0,48,93,0.0
174,СДАН В 2016,"ЖК «Дом у пруда», Чкаловский р-н, г. Екатеринбург",Продано,АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург пер. Сызранский 17,Эконом класс,от 42 до 101 м2,Монолитный,0,0,42,101,0.0
175,СДАН В 2016,"ЖК «Огни Екатеринбурга», г. Екатеринбург","[6200000, 15300000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Белинского 108,Комфорт класс,от 48 до 167 м2,Монолитный,6200000,15300000,48,167,10750000.0
176,СДАН В 2016,"ЖК ARTEK, г. Екатеринбург","[4900000, 7625000]",АТОМСТРОЙКОМПЛЕКС,"г. Екатеринбург ул. Степана Разина 2 Телебашня, 122 м",Комфорт класс,от 32 до 89 м2,Монолитный,4900000,7625000,32,89,6262500.0
177,СДАН В 2016,"ЖК «Каскад», г. Екатеринбург",[7300000],АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Индустрии 104,Комфорт класс,от 42 до 101 м2,Монолитный,7300000,0,42,101,7300000.0
178,СДАН В 2016,"ЖК «Мечта», Ленинский р-н, г. Екатеринбург",Продано,ООО «Возрождение Екатеринбурга»,г. Екатеринбург ул. Куйбышева 21,Бизнес класс,от 38 до 162 м2,Монолитный,0,0,38,162,0.0
179,СДАН В 2016,"ЖК «Каменный ручей», Чкаловский р-н, г. Екатеринбург",Продано,Брусника,г. Екатеринбург ул. Щербакова 77/1,Комфорт класс,от 38 до 180 м2,Монолитно-каркасный,0,0,38,180,0.0
180,СДАН В 2016,"ЖК «Гольфстрим», г. Екатеринбург","[4730000, 7299000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул Машинная 46,Комфорт класс,от 46 до 98 м2,Монолитный,4730000,7299000,46,98,6014500.0
181,СДАН В 2016,"ЖК «Дипломат», г. Екатеринбург","[12900000, 54000000]",Корпорация «Маяк»,"г. Екатеринбург ул Гоголя 57 РЭА, 271 м",Элит класс,от 42 до 177 м2,Монолитно-кирпичный,12900000,54000000,42,177,33450000.0
182,СДАН В 2016,"ЖК «Семицвет», Железнодорожный р-н, г. Екатеринбург",Продано,ГК «Астра»,г. Екатеринбург ул. Техническая 144,Комфорт класс,от 34 до 78 м2,Монолитный,0,0,34,78,0.0
183,СДАН В 2015,"ЖК «Аврора», г. Екатеринбург",Продано,ГК «Атлас Девелопмент»,г. Екатеринбург ул. Соболева 19,Комфорт класс,от 29 до 70 м2,Монолитный,0,0,29,70,0.0
184,СДАН В 2015,"ЖК «Селен», г. Верхняя Пышма","[3960000, 4900000]",ГК «Астра»,г. Верхняя Пышма ул. Александра Козицына 8,Комфорт класс,от 45 до 120 м2,Монолитный,3960000,4900000,45,120,4430000.0
185,СДАН В 2015,"ЖК «Премьер-2», г. Екатеринбург","[5800000, 13700000]",ГК «PREMIER»,г. Екатеринбург ул. Авиационная 12,Комфорт класс,от 41 до 132 м2,Монолитно-каркасный,5800000,13700000,41,132,9750000.0
186,СДАН В 2015,"ЖК «Серебряная Подкова», Чкаловский р-н, г. Екатеринбург",Продано,АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург пер. Сызранский 3,Комфорт класс,от 39 до 96 м2,Монолитный,0,0,39,96,0.0
187,СДАН В 2015,"ЖК «Спутник», г. Екатеринбург","[1950000, 3750000]",ГК «Астра»,г. Екатеринбург ул. Бахчиванджи 22А,Комфорт класс,от 25 до 78 м2,Монолитно-каркасный,1950000,3750000,25,78,2850000.0
188,СДАН В 2015,"Апарт-отель «Мечта», г. Верхняя Пышма","[1550000, 1950000]",ГК «АктивСтройСервис»,г. Верхняя Пышма ул. Машиностроителей 6А,Эконом класс,от 22 до 103 м2,Монолитный,1550000,1950000,22,103,1750000.0
189,СДАН В 2015,"Новостройка на ул. Новгородцевой, г. Екатеринбург",Продано,АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург Новгородцевой ул 23,Эконом класс,от 37 до 58 м2,Монолитно-кирпичный,0,0,37,58,0.0
190,СДАН В 2014,"ЖК «Маяковский парк», г. Екатеринбург",[5292000],Корпорация «Маяк»,г. Екатеринбург пер Базовый 52,Комфорт класс,от 85 до 161 м2,Монолитный,5292000,0,85,161,5292000.0
191,СДАН В 2014,"ЖК «Комета», Новая Сортировка р-н, г. Екатеринбург",Продано,ГК «Астра»,г. Екатеринбург ул. Августа Бебеля 144,Комфорт класс,от 28 до 83 м2,Монолитный,0,0,28,83,0.0
192,СДАН В 2014,"ЖК «Премьер», г. Екатеринбург",Продано,ГК «PREMIER»,г. Екатеринбург ул. Циолковского 27,Комфорт класс,от 44 до 111 м2,Монолитно-каркасный,0,0,44,111,0.0
